Start training!
Training finished!
         47729690 function calls (45548423 primitive calls) in 69.398 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8448    0.003    0.000    0.003    0.000 PngImagePlugin.py:151(__init__)
   939958    0.459    0.000    0.942    0.000 PngImagePlugin.py:155(read)
     8448    0.002    0.000    0.002    0.000 PngImagePlugin.py:181(close)
    42246    0.101    0.000    0.246    0.000 PngImagePlugin.py:187(call)
    33792    0.027    0.000    0.066    0.000 PngImagePlugin.py:193(crc)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:239(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:261(PngInfo)
       44    0.000    0.000    0.000    0.000 PngImagePlugin.py:267(__init__)
       44    0.000    0.000    0.000    0.000 PngImagePlugin.py:270(add)
       44    0.000    0.000    0.000    0.000 PngImagePlugin.py:313(add_text)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:345(PngStream)
     8448    0.009    0.000    0.011    0.000 PngImagePlugin.py:346(__init__)
     8448    0.014    0.000    0.027    0.000 PngImagePlugin.py:411(chunk_IHDR)
     8454    0.008    0.000    0.008    0.000 PngImagePlugin.py:431(chunk_IDAT)
     8448    0.006    0.000    0.012    0.000 PngImagePlugin.py:474(chunk_gAMA)
     8448    0.027    0.000    0.044    0.000 PngImagePlugin.py:480(chunk_cHRM)
    76032    0.008    0.000    0.008    0.000 PngImagePlugin.py:486(<genexpr>)
     8448    0.009    0.000    0.018    0.000 PngImagePlugin.py:505(chunk_pHYs)
    16896    0.006    0.000    0.006    0.000 PngImagePlugin.py:690(_accept)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:698(PngImageFile)
     8448    0.058    0.000    0.454    0.000 PngImagePlugin.py:702(_open)
     8448    0.007    0.000    0.208    0.000 PngImagePlugin.py:912(load_prepare)
   897712    0.561    0.000    1.734    0.000 PngImagePlugin.py:921(load_read)
     8448    0.012    0.000    0.023    0.000 PngImagePlugin.py:954(load_end)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:98(Disposal)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:148(PpmPlainDecoder)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:279(PpmDecoder)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:53(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      147    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:420(_populate)
        1    0.000    0.000    0.000    0.000 _VF.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _VF.py:19(VFModule)
        1    0.000    0.000    0.000    0.000 _VF.py:22(__init__)
     2097    0.001    0.000    0.002    0.000 _VF.py:26(__getattr__)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
      401    0.000    0.000    0.000    0.000 __future__.py:20(get_overwrite_module_params_on_conversion)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
      325    0.005    0.000    4.271    0.013 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(RearrangeMixin)
       11    0.000    0.000    0.000    0.000 __init__.py:10(partialclass)
        1    0.000    0.000    0.000    0.000 __init__.py:100(Value)
        5    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
   142190    0.040    0.000    0.051    0.000 __init__.py:101(check_in_list)
        1    0.000    0.000    0.000    0.000 __init__.py:1011(_ReqExtras)
        1    0.000    0.000    0.000    0.000 __init__.py:103(_StrongRef)
        1    0.000    0.000    0.000    0.000 __init__.py:1031(Environment)
        1    0.000    0.000    0.000    0.000 __init__.py:1038(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:104(<genexpr>)
       12    0.000    0.000    0.000    0.000 __init__.py:1047(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1058(_CudaBase)
        1    0.000    0.000    0.000    0.000 __init__.py:106(__version__)
        1    0.000    0.000    0.000    0.000 __init__.py:1075(_CudaLegacyStorage)
      660    0.000    0.000    0.000    0.000 __init__.py:108(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:109(__setattr__)
    44/35    0.000    0.000    0.088    0.003 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1090(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:11(_PyAwaitMeta)
        2    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:110(DeQuantize)
        1    0.000    0.000    0.000    0.000 __init__.py:1101(DoubleStorage)
       88    0.000    0.000    0.000    0.000 __init__.py:111(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(HalfStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1125(ByteStorage)
